province_code,date,title,prize_codes,prize_order
KH79,7-7-2024,G2,33377,7
KH79,7-7-2024,G1,44544,8
KH79,7-7-2024,ĐB,268289,9
KH79,10-7-2024,G8,26,0
KH79,10-7-2024,G7,738,1
KH79,10-7-2024,G6,4241 1194 2134,2
KH79,10-7-2024,G5,5273,3
KH79,10-7-2024,G4,05815 92995 53537 59634 69976 86489 14576,4
KH79,10-7-2024,G3,08893 36465,6
KH79,10-7-2024,G2,65235,7
KH79,10-7-2024,G1,61105,8
KH79,10-7-2024,ĐB,473146,9
KH79,14-7-2024,G8,11,0
KH79,14-7-2024,G7,253,1
KH79,14-7-2024,G6,8861 0103 7238,2
KH79,14-7-2024,G5,2155,3
KH79,14-7-2024,G4,31590 59192 31359 22843 35641 09772 84411,4
KH79,14-7-2024,G3,15516 27197,6
KH79,14-7-2024,G2,08096,7
KH79,14-7-2024,G1,83216,8
KH79,14-7-2024,ĐB,530557,9
KH79,17-7-2024,G8,98,0
KH79,17-7-2024,G7,395,1
KH79,17-7-2024,G6,2062 7964 6373,2
KH79,17-7-2024,G5,9233,3
KH79,17-7-2024,G4,66806 28271 63435 10298 08799 89829 39584,4
KH79,17-7-2024,G3,13979 71713,6
KH79,17-7-2024,G2,80627,7
KH79,17-7-2024,G1,00497,8
KH79,17-7-2024,ĐB,074387,9
KH79,21-7-2024,G8,90,0
KH79,21-7-2024,G7,284,1
KH79,21-7-2024,G6,7673 0779 6808,2
KH79,21-7-2024,G5,7230,3
KH79,21-7-2024,G4,30252 77982 55493 20999 66023 88202 21091,4
KH79,21-7-2024,G3,15542 05979,6
KH79,21-7-2024,G2,15282,7
KH79,21-7-2024,G1,75397,8
KH79,21-7-2024,ĐB,465951,9
KH79,24-7-2024,G8,26,0
KH79,24-7-2024,G7,073,1
KH79,24-7-2024,G6,2176 4879 1469,2
KH79,24-7-2024,G5,9372,3
KH79,24-7-2024,G4,84666 35379 68893 30255 79626 98855 21671,4
KH79,24-7-2024,G3,13366 29308,6
KH79,24-7-2024,G2,73132,7
KH79,24-7-2024,G1,70430,8
KH79,24-7-2024,ĐB,840895,9
KH79,31-7-2024,G8,36,0
KH79,31-7-2024,G7,698,1
KH79,31-7-2024,G6,3534 0188 3398,2
KH79,31-7-2024,G5,8649,3
KH79,31-7-2024,G4,03065 06112 85561 95070 27683 15678 96621,4
KH79,31-7-2024,G3,49447 41090,6
KH79,31-7-2024,G2,85177,7
